1,YES,YES,BENTON,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,8,2,TABLOID,NorthUS,3,7,3,2,5,5,6,1,4,7,3,5,1,1,9,4,2,7,7,10,band
1,YES,YES,BENTON,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,8,2,TABLOID,NorthUS,1,7,3,5,3,5,6,1,2,8,4,6,1,1,9,3,2,7,7,10,noband
4,YES,YES,BENTON,UNCOATED,COATED,NO,LINE,YES,WoodHoe70,6,9,CATALOG,NorthUS,1,8,2,8,4,5,6,3,2,8,4,6,1,1,10,4,4,6,6,10,noband
3,YES,YES,BENTON,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,6,9,CATALOG,NorthUS,1,6,2,5,4,4,3,3,2,6,5,6,1,1,9,5,4,8,8,10,noband
3,NO,YES,BENTON,UNCOATED,COATED,NO,LINE,YES,WoodHoe70,6,2,TABLOID,NorthUS,1,6,3,5,5,5,6,3,1,9,5,7,4,1,8,3,3,7,7,10,noband
3,YES,YES,BENTON,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,6,2,CATALOG,NorthUS,1,6,2,4,5,4,4,3,3,6,4,5,4,1,9,3,4,6,6,10,noband
2,NO,YES,BENTON,COATED,COATED,NO,LINE,YES,Motter94,10,2,TABLOID,CANADIAN,3,6,3,5,4,4,6,3,1,10,6,5,4,1,9,3,1,7,7,10,noband
2,NO,YES,BENTON,COATED,COATED,NO,LINE,YES,Motter94,10,9,TABLOID,CANAdiAN,3,6,3,2,4,4,6,3,1,10,6,5,4,1,9,4,1,7,7,10,noband
4,YES,YES,BENTON,UNCOATED,UNCOATED,NO,XYLOL,YES,Albert70,1,7,CATALOG,NorthUS,1,6,3,6,1,3,6,9,1,7,6,6,1,1,10,4,4,6,6,10,band
3,YES,YES,BENTON,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,6,2,CATALOG,NorthUS,3,9,3,6,4,4,8,3,7,7,2,4,1,1,10,4,4,7,7,10,noband
3,YES,YES,BENTON,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,6,9,CATALOG,NorthUS,1,9,3,2,4,3,6,3,5,7,3,5,1,1,10,4,4,7,7,10,noband
2,YES,YES,BENTON,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,8,2,TABLOID,NorthUS,3,6,5,6,3,5,6,5,3,7,4,5,1,1,9,4,4,7,7,10,band
2,YES,YES,BENTON,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,8,7,TABLOID,NorthUS,3,6,5,5,3,3,8,3,3,7,3,6,1,1,10,4,4,7,7,10,band
1,YES,YES,BENTON,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,8,7,TABLOID,NorthUS,3,4,3,5,3,3,5,2,1,6,6,6,1,1,7,4,4,5,5,10,band
2,YES,YES,BENTON,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,8,2,TABLOID,NorthUS,3,6,3,4,4,4,8,1,5,7,3,5,1,1,9,4,4,6,6,10,noband
4,NO,YES,BENTON,COATED,COATED,NO,LINE,NO,Motter70,5,9,CATALOG,NorthUS,3,5,3,3,3,7,8,3,1,6,6,5,1,1,9,4,4,6,6,10,band
3,NO,YES,BENTON,COATED,COATED,NO,LINE,NO,Motter70,5,5,CATALOG,CANADIAN,3,2,3,2,3,2,6,3,1,7,6,5,1,1,9,3,2,5,5,10,noband
3,NO,YES,BENTON,COATED,COATED,NO,LINE,NO,Motter70,5,1,CATALOG,CANADIAN,3,2,3,2,4,2,6,3,2,7,5,5,1,1,9,7,2,5,5,10,noband
2,YES,YES,BENTON,UNCOATED,UNCOATED,NO,LINE,YES,Motter70,5,5,CATALOG,CANADIAN,1,8,1,4,4,2,6,3,4,6,4,4,1,1,9,4,2,6,6,10,noband
2,YES,YES,BENTON,UNCOATED,UNCOATED,NO,LINE,YES,Motter70,5,1,CATALOG,CANADIAN,3,8,1,6,4,2,6,3,2,6,5,5,1,1,4,5,2,6,6,10,noband
3,NO,YES,BENTON,COATED,COATED,NO,NAPTHA,NO,Motter94,9,2,TABLOID,CANADIAN,3,6,3,3,4,3,7,3,1,10,5,7,1,1,6,4,1,7,7,10,noband
2,NO,YES,BENTON,COATED,COATED,NO,NAPTHA,YES,Motter94,9,9,TABLOID,CANADIAN,3,4,3,2,3,4,7,3,1,10,6,5,1,1,4,4,1,7,7,10,noband
3,NO,YES,BENTON,COATED,COATED,NO,LINE,YES,Motter94,9,2,TABLOID,CANADIAN,3,2,3,2,4,3,7,2,1,9,5,6,3,1,7,4,1,4,4,10,noband
